"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","617","Verify Book creation error with null page count","Surefire suite","Tue Nov 05 17:25:19 GMT 2024","passed","Tue Nov 05 17:25:20 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_3"
"","352","Verify Author deletion","Surefire suite","Tue Nov 05 17:25:27 GMT 2024","passed","Tue Nov 05 17:25:28 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_5"
"","356","Verify Book update","Surefire suite","Tue Nov 05 17:25:25 GMT 2024","passed","Tue Nov 05 17:25:25 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_4"
"","423","Verify get Author By Id response error with wrong author id","Surefire suite","Tue Nov 05 17:25:21 GMT 2024","passed","Tue Nov 05 17:25:21 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_2"
"","371","Verify Book deletion error with wrong url","Surefire suite","Tue Nov 05 17:25:20 GMT 2024","passed","Tue Nov 05 17:25:21 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_5"
"","353","Verify get Author By Id response","Surefire suite","Tue Nov 05 17:25:26 GMT 2024","passed","Tue Nov 05 17:25:26 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_2"
"","384","Verify Book update error with wrong date format","Surefire suite","Tue Nov 05 17:25:20 GMT 2024","passed","Tue Nov 05 17:25:20 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_4"
"","385","Verify Author update","Surefire suite","Tue Nov 05 17:25:27 GMT 2024","passed","Tue Nov 05 17:25:27 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_4"
"","353","Verify Book deletion","Surefire suite","Tue Nov 05 17:25:25 GMT 2024","passed","Tue Nov 05 17:25:25 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_5"
"","429","Verify get Book By Id response","Surefire suite","Tue Nov 05 17:25:24 GMT 2024","passed","Tue Nov 05 17:25:24 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_2"
"","355","Verify Author update error with wrong url","Surefire suite","Tue Nov 05 17:25:22 GMT 2024","passed","Tue Nov 05 17:25:22 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_4"
"","349","Verify Author deletion error with wrong url","Surefire suite","Tue Nov 05 17:25:22 GMT 2024","passed","Tue Nov 05 17:25:22 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_5"
"","371","Verify get All Authors response error with wrong url","Surefire suite","Tue Nov 05 17:25:21 GMT 2024","passed","Tue Nov 05 17:25:21 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_1"
"","366","Verify Book creation","Surefire suite","Tue Nov 05 17:25:24 GMT 2024","passed","Tue Nov 05 17:25:25 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_3"
"","447","Verify get Book By Id response error with wrong book id","Surefire suite","Tue Nov 05 17:25:19 GMT 2024","passed","Tue Nov 05 17:25:19 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_2"
"","1796","Verify get All Books response error with wrong url","Surefire suite","Tue Nov 05 17:25:17 GMT 2024","passed","Tue Nov 05 17:25:19 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_1"
"","357","Verify Author creation","Surefire suite","Tue Nov 05 17:25:26 GMT 2024","passed","Tue Nov 05 17:25:27 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_3"
"","374","Verify Author creation error with null author id","Surefire suite","Tue Nov 05 17:25:21 GMT 2024","passed","Tue Nov 05 17:25:22 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_3"
"","1424","Verify getAllBooks response","Surefire suite","Tue Nov 05 17:25:22 GMT 2024","passed","Tue Nov 05 17:25:24 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_1"
"","697","Verify get All Authors response","Surefire suite","Tue Nov 05 17:25:25 GMT 2024","passed","Tue Nov 05 17:25:26 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_1"
