"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","448","Verify get Author By Id response error with wrong author id","Surefire suite","Tue Nov 05 17:47:42 GMT 2024","passed","Tue Nov 05 17:47:42 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_2"
"","382","Verify Author deletion error with wrong url","Surefire suite","Tue Nov 05 17:47:43 GMT 2024","passed","Tue Nov 05 17:47:43 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_5"
"","394","Verify Book creation","Surefire suite","Tue Nov 05 17:47:45 GMT 2024","passed","Tue Nov 05 17:47:46 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_3"
"","729","Verify get All Authors response","Surefire suite","Tue Nov 05 17:47:46 GMT 2024","passed","Tue Nov 05 17:47:47 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_1"
"","369","Verify Book deletion","Surefire suite","Tue Nov 05 17:47:46 GMT 2024","passed","Tue Nov 05 17:47:46 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_5"
"","364","Verify Author deletion","Surefire suite","Tue Nov 05 17:47:48 GMT 2024","passed","Tue Nov 05 17:47:49 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_5"
"","448","Verify get Book By Id response error with wrong book id","Surefire suite","Tue Nov 05 17:47:39 GMT 2024","passed","Tue Nov 05 17:47:40 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_2"
"","408","Verify Author creation error with null author id","Surefire suite","Tue Nov 05 17:47:42 GMT 2024","passed","Tue Nov 05 17:47:43 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_3"
"","398","Verify get All Authors response error with wrong url","Surefire suite","Tue Nov 05 17:47:41 GMT 2024","passed","Tue Nov 05 17:47:42 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_1"
"","390","Verify Book update","Surefire suite","Tue Nov 05 17:47:46 GMT 2024","passed","Tue Nov 05 17:47:46 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_4"
"","412","Verify Book update error with wrong date format","Surefire suite","Tue Nov 05 17:47:40 GMT 2024","passed","Tue Nov 05 17:47:41 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_4"
"","376","Verify Author update error with wrong url","Surefire suite","Tue Nov 05 17:47:43 GMT 2024","passed","Tue Nov 05 17:47:43 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_4"
"","1511","Verify getAllBooks response","Surefire suite","Tue Nov 05 17:47:43 GMT 2024","passed","Tue Nov 05 17:47:45 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_1"
"","372","Verify Author creation","Surefire suite","Tue Nov 05 17:47:48 GMT 2024","passed","Tue Nov 05 17:47:48 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_3"
"","1737","Verify get All Books response error with wrong url","Surefire suite","Tue Nov 05 17:47:38 GMT 2024","passed","Tue Nov 05 17:47:39 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_1"
"","647","Verify Book creation error with null page count","Surefire suite","Tue Nov 05 17:47:40 GMT 2024","passed","Tue Nov 05 17:47:40 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_3"
"","373","Verify Author update","Surefire suite","Tue Nov 05 17:47:48 GMT 2024","passed","Tue Nov 05 17:47:48 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_4"
"","497","Verify get Book By Id response","Surefire suite","Tue Nov 05 17:47:45 GMT 2024","passed","Tue Nov 05 17:47:45 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_2"
"","394","Verify Book deletion error with wrong url","Surefire suite","Tue Nov 05 17:47:41 GMT 2024","passed","Tue Nov 05 17:47:41 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_5"
"","384","Verify get Author By Id response","Surefire suite","Tue Nov 05 17:47:47 GMT 2024","passed","Tue Nov 05 17:47:48 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_2"
